Areacode,Phone,name1,name2,SAM_BLDNAME,SAM_STNMFR,SAM_STNAME,SAM_STSUBT,class_code
2,5315656,Delta Printing Company,,,10,1st,St,107844
2,6410586,Delta Wood Products Corporation,,Prl Building,,C Raymundo,Ave,106844
2,8138940,Delta-T Dev Logical Techniques,,Peninsula Court,8735,Paseo de Roxas,Ave,104453
2,5239757,Deltan Food Products Incorporated,,,43,Gen v Lim,St,105876
2,5315049,Deltavir Overseas Job Placement & General Services Inc,,,464,Boni,Ave,105615
2,5316598,Deltavir Overseas Placement,,Ojen Bldg,464,Boni,Ave,105615
2,7407102,Deltra Bus Transit,,,314,Blumentritt,St,104842
2,8022497,Demetillo,Amor,,,Pilar,Rd,106303
2,9274417,Den-Aire Incorporated,,,545,Quezon,Ave,106860
2,9280256,Dental Care Corner,,,56,Visayas,Ave,105383
2,8401898,Dental Center,,Glorietta 3,,North,Drv,105383
2,5353181,Dental Network Company,,Facilities Centre,,Shaw,Bvd,105383
2,8179643,Dental Technologies Incorporated,,Jm Building 2,5307,Pres S Osmena Sr,Hwy,105381
2,8501626,Dentista Inc,,Alabang Town Center,,Alabang-Zapote,Rd,105383
2,5242488,Deocampo,Vilma D,,865,J L Escoda,St,105383
2,6338491,Dermatology Clinic,,Robinsons Galleria Corp Ctr,,Edsa,St,105068
2,8935387,Dermatrium Skin Care,,Prince Plaza I,106,Legazpi,St,105390
2,8171966,Dermclinic Inc,,Mgf Champaca Building,156,Amorsolo,St,108107
2,6462509,Dermexcel,,Robinsons Metro East,,Marcos,Hwy,105390
2,5270285,Dermpharma Inc,,,2364,Dominga,St,105290
2,7153988,Dermstrata Skin Clinic,,Sm City Sta Mesa Annex Bldg,6,Aurora,Bvd,108107
2,9526421,Dermstrata Skin Clinic and Spa,,Ever Gotesco,,Commonwealth,Ave,105390
2,8422894,Descalsota,Remigio,New Alabang Centro,,Alabang-Zapote,Rd,106339
2,8959187,Design 1508,,Lri Business Plaza,210,Nicanor Garcia,St,105944
2,9123346,Design Crest Furniture Component,,,690C,Edsa,Ave,105944
2,8134575,Design Milieu Phils Inc,,Cristina Condominium,143,Legazpi,St,106088
2,2423092,Destileria Fortuna Incorporated,,,521,San Nicolas,St,105439
2,2423686,Destileria La Fortuna,,,521,Fundidor,St,105439
2,3733097,Destilleria Limtuaco and Company Incorporated,,,1033,Del Monte,Ave,105439
2,3616006,Dexterton Industrial Corporation,,,157,Sgt E Rivera,St,106130
2,8995190,Dhc Internet Cafe,,,4316,Montojo,St,106303
2,5310906,Di Twelve Technology Corp,,Sierra Center,,Sierra Madre,St,107950
2,8710405,Diamante Balloons & Party Needs,,,,Capitoline Hill,St,104654
2,8318247,Diamond Rent a Car Incorporated,,Naia,,Naia,Rd,104930
2,2548016,Diamond Seafood Product,,Ckl Building,918,Luzon,St,106969
2,4219122,Digital Telecom System,,,79,Narra,St,107338
2,8976878,Digital X Zone Inc,,Polaris Centre,48,Polaris,St,106969
2,8403519,Digitrax Recording Studios Inc,,Yl Holdings Building,115,V a Rufino,St,106907
2,9223753,Diliman Bible Church Incorporated,,,,Maginhawa,St,106948
2,3614597,Dimension Industries Incorporated,,,95,Kaingin,Rd,107844
2,9215354,Dinna's Cake House,,,1,Anonas,St,104644
2,8503739,Dino,Vilma T,Festival Supermall,,Corporate,Ave,106969
2,7278179,Dinsky Sports & Casual,,Shoppesville Shopping Center,,Ortigas,Ave,108163
2,4615051,Diocese of Novaliches,,,,Regalado,Ave,105044
2,7279432,Discalced Carmelite Vocation Promotion Ministry,,Mt Carmel Church,,4th,St,106948
2,8730427,Distinct Lumber and Harware,,,40,Alabang-Zapote,Rd,106707
2,5357644,Distribution and Control Products Incorporated,,,74,Primo Cruz,St,105554
2,9139007,Diversified Agrochemicals Trading,,,191,J P Rizal,St,107645
2,7340854,Divine Mercy Learning Ctr,,,927,Ongpin,St,107827
2,6871231,Divino & Gavino Law Offices,,One Magnificent Mile-Citra,,San Miguel,Ave,111176.1
2,2433622,Divisoria Footwear,,,753,Juan Luna,St,108077
2,7231097,Dizon,Teresa,Medical Arts Building,279,E Rodriguez Sr,Ave,105068
2,8440194,Dj Paradise Resort Incorporated,,,46,Sen Gil Puyat,Ave,106962
2,8961666,Djk Construction Supply,,,271,J P Rizal,St,106707
2,2433445,Dk Commercial Corp,,,214,San Nicolas,St,107022
2,2929883,Dlc Foods Inc,,South Supermarket,,Gen D Mc Arthur,Hwy,106969
2,3622870,Dmc Columbus Marketing Phil Inc,,,34B,Gen Concepcion,St,105876
2,8386608,Doctors Pharmaceuticals Inc,,Amj Industrial Complex,8,Veterans,Rd,105489
2,8007747,Dokuro Marketing,,,451I,Alabang-Zapote,Rd,106130
2,8102223,Dole Philippines Incorporated,,6750 Ayala Tower,6750,Ayala,Ave,105876
2,5241588,Dolendo and Associates Law Office,,S & L Building,1500,Pres M a Roxas,Bvd,111176.1
2,8178182,Doloroso Cora Career Centre,,Jackson Building,926,A S Arnaiz,Ave,107961
2,6359625,Dome Cafe' Franchise Corporation,,Edsa Shangri-La Plaza Hotel,,Edsa,Ave,106969
2,8313092,Domingo,Jose,,350A,A S Arnaiz,Ave,106979
2,7245406,Dominican College,,,179,F Blumentritt,St,107961
2,7323486,Dominican Hills Marketing,,A & M Building,28,Quezon,Ave,104397
2,7315317,Dominican School,,Dominican School,1044,A H Lacson,Ave,107961
2,8230039,Don Bosco Center of Studies,,,,Michael Rua,St,107961
2,8920101,Don Bosco Technical Institute,,,,Chino Roces,Ave,107961
2,7347878,Dona Elena Ladies Home,,,1263,Lardizabal,St,105460
2,8000771,Dona Jovita Garden Resort,,Aurora Arcade,,Alabang-Zapote,Rd,106962
2,6345297,Done Deals Asia Inc,,Metrowalk Plaza,,Meralco,Ave,106969
2,8156242,Doortech System,,Mc Home Depot,,Justicia,Drv,106003
2,8226288,Doralex,,,76,Saudi Arabia,St,106130
2,8094602,Dorflex Aus Products Corporation,,,125,V Buencamino,St,100439
2,6374226,Dos Palmas Arreceffi Island Resort,,Antel Global Corporate Center,,Dna Julia Vargas,Ave,106962
2,9114229,Dotarot,Buenaventura G,Buenmar Building,504,Edsa,Ave,107297
2,3644721,Douglas Metalweld Corporation,,,15,9th,Ave,106130
2,5501561,Dowlyn Enterprises,,,4979,Enrique,St,106054
2,8441244,Dpraga Bus MacHines Services,,Epr Building,6974,Dela Rosa,St,106517
2,9244051,Dr Jesus Delgado Memorial,,,7,Kamuning,Rd,106202
2,8895850,Dr Malou Herrera Dental Clinicco,,Medical Plaza Makati,,Amorsolo,St,105383
2,7341471,Dr Mennen T Ong-Chua Dental Clinic,,Reyes Building,528,Ronquillo,St,105068
2,8171495,Dr Michael Suarez III Dental Clinic,,Cityland Herrera Tower,98,V a Rufino,St,105383
2,5276067,Dr Reynaldo E Ang Clinic,,Manila Doctors Medical Center,667,United Nations,Ave,105068
2,3720846,Dragon Fireworks Incorporated,,Anita Building,1300,Quezon,Ave,105807
2,9262543,Dragon Force Security and Allied Services,,,42,Sgt E a Esguerra,Ave,108002
2,3723219,Dragon Hills Land & Trading Corporation,,,87,Panay,Ave,106130
2,9378419,Dragon Hills Sales Enterprises,,,737,Gen Luis,St,108212
2,5251563,Dragon Noodle Center,,,1037,M H Del Pilar,St,106969
2,5369433,Dream Garden Hotel,,,1767,A Mabini,St,106213
2,2913452,Dream Quest Holiday Inc,,,4,Malakas,St,107467
2,8921425,Dream Road Phils Corp,,Prince Tower,14,Tordesillas,St,105483
2,9293261,Dresys Incorporated,,,53,Mindanao,Ave,105976
2,8312769,Drezzee Boutique,,,3676C,Bautista,St,109341
2,9281042,Drt Diesel Service Center,,,72,Shorthorn,St,105420
2,2938914,Drug Check Phils Inc,,,51,Karuhatan,Rd,106585
2,2455619,Dsd Merchantile Incorporated,,,638,Oriente,St,106408
2,5210637,Dse (Cbp) Kilusang Bayan for Credit Inc,,5 Storey Building,,Pres M a Roxas,Bvd,105268
2,2518232,Dss Multiline Inc,,,,Capulong,Hwy,107529
2,9841425,Dts Lumber,,,451,M Dela Cruz,St,106707
2,3721061,Du de Keng Ong,,,28,E Porto,St,108127
2,5211998,Ducks Inn Bar and Billiard Cafe,,,1207,M H Del Pilar,St,104673
2,7360475,Duke's Apartel,,,1100,Rizal,Ave,104524
2,8177074,Dulcinea,Pasteleria,The Colonnade Residences,132,Legazpi,St,104644
2,9207892,Dulcinea Restaurant Incorporated,,,,T Morato,Ave,106969
2,6320062,Dunwoody & Madison Inc,,Medical Plaza,,San Miguel,Ave,104873
2,7243926,Durastress Corporation,,State Financing Center Bldg,,Ortigas,Ave,105200
2,7247718,Dusit Thani Food Corporation,,,4,St Luke,St,106969
2,3636974,Dy,Divina S,Howard Tower,,6th,Ave,105554
2,2547471,Dy Chee Puat Cleofe,,,1425,G Masangkay,St,106130
2,3621360,Dyna Products Inc,,,135,2nd,Ave,106907
2,8524422,Dynamex,,,,Del Bros,Ave,106374
2,3655901,Dynamic Multi Products Inc,,,55,Joy,St,104629
2,9123350,Dynasty Upholstery and Furniture Center,,Llames Building,694,Edsa,Ave,105944
2,6874336,E & R Gen Agency,,Karina Building,33,Shaw,Bvd,106286.1
2,7819437,E a Furniture House,,,2971,Rizal,Ave,105944
2,8178568,E B Bakeshop Inc,,San Antonio Plaza Arcade,,McKinley,Rd,104644
2,8820690,E B Karmine Commercial,,,2461,Urdaneta,St,106509
2,9315214,E C Structural Composites Inc,,Jockfer Building,,Commonwealth,Ave,105231
2,6386797,E D Buenviaje Builders Inc,,,7,Gen Araneta,St,107749
2,2416909,E Excel International Phils Incorporated,,Burke Plaza,,San Fernando,St,106150
2,9382231,E S Beauty Center,,,41,Regalado,Ave,104699
2,2836386,E v Diaz Brokerage Incorporated,,,1064A,North Bay,Bvd,107529
2,7434196,Ea Bearing Country,,,1319,C M Recto,Ave,104698
2,8133553,Eagle Point Resort,,Cacho-Gonzales Building,101,Aguirre,St,106962
2,5253367,Eagleson Enterprise,,,1811,A Linao,St,105554
2,5367772,Ear Diagnostics Inc,,Manila Astral Tower,1330,Taft,Ave,105068
2,7498280,Earnshaw M Lumber and Hardware,,,1314,M F Jhocson,St,106707
2,8248156,Earth's Accent Day Spa,,,103,Dna Soledad,Ave,108153
2,9280611,East Avenue Medical Center,,,,C P Garcia,Ave,106202
2,3762096,East Electric Engineering Sales & Services,,Remedios Building,55,Don Alejandro Roces,Ave,105530
2,5241821,East Ocean Seafood Restaurant,,Century Park Sheraton,,P Ocampo Sr,St,106969
2,9112138,Eastern Assurance and Surety Corporation,,Panaguiton Building,,Edsa,Ave,106286.1
2,3610572,Eastern Gas Corporation,,,151,Kaingin,Rd,106571
2,5232789,Eastern Handicrafts,,,519,A Flores,St,106124
2,2538392,Eastern Metal Industries Incorporated,,,399,Pampanga,St,107190
2,8175639,Eastern Petroleum Corp,,Cityland Pasong Tamo Tower,2210,Chino Roces,Ave,107652
2,5273006,Eastern Shipping Lines Inc,,,,Anda,St,108055
2,6357882,Eastgate Publishing Corporation,,Prestige Tower Condominium,,F Ortigas Jr,Rd,107891
2,7335861,Eastman Industrial Supply,,A and E Building,525,T Alonzo,St,106130
2,9203133,Easy Wear Garments,,,,C P Garcia,Ave,105976
2,2442777,Easy-Job Mart,,,1283,Soler,St,108259
2,2529524,Eccentrix Technology Corp,,Landwealth Mansion,1995,Juan Luna,St,105628
2,6437038,Ecclesiastical Distric of Pasig,,Immaculate Concepcion Church,,J P Rizal,St,106948
2,2941613,Ecco Food Products,,,,Gen D Mc Arthur,Hwy,105876
2,8190998,Ecj & Sons Agricultural Ent Inc,,Basic Petroleum Building,104,Don C Palanca Jr,St,104434
2,7123988,Eckart Exquisite Industries,,,756,N S Amoranto Sr,St,104641.1
2,8927584,Ecology Village III Condo Company,,Building 1,,Don Bosco,Rd,105192
2,3726578,Economy Trading,,,68,M H Del Pilar,St,106054
2,8448309,Ecp Chemical Philippines Incorporated,,Filipino Building,135,Dela Rosa,St,107031
2,4415108,Ecpat Philippines Inc,,,143,Anonas,St,110177
2,2426282,Ed Ramos Enterprises,,,821,Sto Cristo,St,107597
2,3715153,Eddie Enterprises,,,333,Roosevelt,Ave,105944
2,8929975,Edi Staffbuilders International Incorporated,,Corporate Center Condominium,139,Valero,St,106913
2,9128787,Edmark Products Ltd Co,,,355,P Tuazon,Bvd,106182
2,9293189,Edsa Garden House,,,867,Edsa,Ave,105971
2,8674409,Edupro Inc,,Don Pablo Building,114,Amorsolo,St,105150
2,3652977,Edzen Money Changer,,Lrt Northmall Building,,Rizal Extension,Ave,107233
2,6423035,Eec-Coating & Waterproofing Services,,Jrj Building,,Isla Homes Subdivision,St,107582
2,9270792,Egress & Ingress Enterprises Inc,,Bsc Realty Building,77,Malakas,St,106777
2,8951812,Einsiedel,Nathaniel Von,,1856,Asuncion,St,104544
2,5322386,Ekonomart Inc,,The Market Place,,Gen Kalentong,St,105388
2,8108735,El Cirkulo Restaurant,,A & G Building,900,A S Arnaiz,Ave,106969
2,6815327,El Inventor Motor Works Inc,,,,A Rodriguez,Ave,104843
2,7268063,El Nino Apartelle,,Megabest Building,140,N Domingo,St,106969
2,6331617,El Polo Loco,,Sm Megamall B,,Edsa,Ave,106969
2,8615924,El Shaddai Learning School,,,,Summitville Subdivision,St,107961
2,9111068,Ela,Josefa N,Farmers Market Annex,,Gen D Mc Arthur,Ave,104644
2,7324116,Elar's Lechon,,Ebc Building,151,Quezon,Ave,106969
2,9272378,Elarkay Lending Corporation,,Ang Bahay Ng Alumni Building,,Magsaysay,Ave,105778
2,2550679,Electra Trading,,,808,Asuncion,St,106130
2,6870306,Electronic Data Publishing Corp,,Richmond Hotel,,San Miguel,Ave,107891
2,7331664,Electx Electrical Supply,,,619,G Puyat,St,105554
2,7247569,Elektro Werk Inc,,,695,Edsa,Ave,106130
2,2444769,Elemos,Gelascio S,Divine Mart,799,Ilaya,St,107399
2,9842326,Elgie Packaging Equipment Inc,,,,Diamond,St,107560
2,6875750,Elijah Dental Specialist,,Robinsons Place Pioneer Mall,,Edsa,Ave,105383
2,5252752,Elite Garment Int'l Inc,,,996,P Ocampo Sr,St,105192
2,7248461,Elizabeth Shoe Emporium,,,138,N Domingo,St,108077
2,3612314,Elna Enterprises Lumber and Hardware,,,163,Gen Mascardo,St,106130
2,8927054,Elta Industries Inc,,Elta Industries,6363,P Medina,St,107564
2,9127317,Elvie Pineda Beauty On-Line Corp,,,,J M Basa Compound,St,108107
2,8866552,Em Zalamea Actuarial Services,,Cityland Condominium 10 Twr 2,154,H v Dela Costa,St,104393
2,3711806,Em2a Partners and Company,,,17C,Sct de Guia,St,105656
2,9265875,Emar Pest Control,,,154,Chico,St,107645
2,3620215,Emco Printing Press,,,15,9th,Ave,107844
2,8111833,Emer's Food Center,,Makati Cinema Square,,Chino Roces,Ave,106969
2,5223457,Emerald Garden Incorporated,,,1170,Pres M a Roxas,Bvd,106969
2,5216209,Emerald Int'l Manpower Services Corp,,Mardecor Building,509,Padre Faura,St,107070
2,6386708,Emerald Laundry,,Emerald Mansion,,F Ortigas Jr,Rd,106618
2,3628024,Emerald Vinyl Corporation,,,24,Oliveros,Drv,106821
2,7236928,Emeritus Security,,,,Ortigas,Ave,108002
2,3649427,Eminent Metal Corporation,,,1,Andrade,St,106130
2,2422784,Empire Hardware Company,,,506,Ilang-Ilang,St,106130
2,8120575,Empire Insurance Company,,Prudential Life Plan Bldg,118,Gamboa,St,106286.1
2,3643125,Empire Printing Company Incorporated,,,99,Industry 1,St,107844
2,6871771,Enav Logistics Management Services Inc,,Tycoon Centre,,Pearl,Drv,106693
2,7314372,Encarnacion Juns House of Beauty,,,1663,N Roxas,St,104700
2,8138405,Energy Manpower Services Inc,,Erechem Building,,V a Rufino,St,106913
2,5329997,energynet.inc,,,285,Haig,St,107035
2,9115577,Enerthrust Incorporated,,Enerland Building,20,Stanford,St,104453
2,7426593,Eng an Marketing,,,221,Kanlaon,St,105554
2,7337443,Eng Hing and Company,,,805,S Padilla,St,107749
2,2432980,Eng Ko Trading,,,553,Nueva,St,100415
2,5323279,Enriquez,Hermoine  Solomon,,358,Shaw,Bvd,105383
2,9271631,Enriquez,Bayani G,Pcs Building,992,Edsa,Ave,105383
2,9209177,Enriquez,Felino  Feliciano,Jade Place Condominium,33,Visayas,Ave,105383
2,9621794,Entao Interner Cafe,,,,Zamora Compound,St,106303
2,8129398,Entelphils Corp,,Reliable Building,7230,Malugay,St,104901
2,8508941,Entom Pest Control & General Services Corp,,,,Jasmin,St,107387
2,9272965,Ephesians Publishing Incorporated,,,151,Road 20,Rd,107891
2,6384678,Ephphatha Inc,,Shangrila Plaza,,Edsa,Ave,106153
2,7232454,Epic Security Agency Incorporated,,Rasver Bldg,424,E Rodriguez Sr,Ave,108002
2,5274157,Episcopal Commission for the Bible Apostolate,,Cbcp Building,470,Gen a Luna,St,105044
2,5279566,Episcopal Commission on Youth,,Cbcp Building,470,Gen a Luna,St,105044
2,8137162,Epsilon Maritime Services Inc,,Vernida 4 Building,128,L P Leviste,St,106913
2,2421283,Equatorial Commercial Co,,Aic Center Building,200,Escolta,St,106286.1
2,8923494,Equisurance Agencies Corp,,Narra Building,2276,Chino Roces,Ave,106286.1
2,2426804,Equitable Leasing Corporation,,Equitable Bank Building,262,Juan Luna,St,105778
2,8821415,Erico Apartelle,,,8141,Sgt F Yabut Circle,St,104524
2,5213908,Ermita Tourist Development Corporation,,,439,Arquiza,St,106210
2,8178154,Ernesto v Francisco Jr Law Office,,Liberty Building,835,A S Arnaiz,Ave,111176.1
2,6438937,Erosystech Industrial Sales Inc,,,,G Cleveland,St,104445
2,6361373,Escano & Partners Law Offices,,Taipan Place Building,,F Ortigas Jr,Rd,111176.1
2,6343272,Escano and Partners Law Offices,,Taipan Place Building,,F Ortigas Jr,Rd,111176.1
2,8873120,Escobido & Pulgar Law Firm,,Heart Tower,,Valero,St,111176.1
2,8129118,Esguerra & Blanco Law Office,,S & L Building,133,Dela Rosa,St,111176.1
2,7242180,Espana Extension Ice Plant,,,1879,Espana,St,106240
2,7725982,Espina & Yumul-Espina Law Ofc,,Entrata Urban Towers,2609,Civic,Drv,111176.1
2,3765031,Espiritu and Bandong Law Office,,The One Executive Building,5,West,Ave,111176.1
2,7111332,Espiritu Santo Church,,,1912,Rizal,Ave,105047
2,7110991,Espiritu Santo Parochial,,,1912,Rizal,Ave,107961
2,6383802,Espolong,Marivic Fernandez,Jollibee Plaza,,F Ortigas Jr,Rd,107070
2,2421257,Esquire Ins Agency,,Natividad Building,,Escolta,St,106286.1
2,6382543,Esquivias Cruz Conlu Law Offices,,Jollibee Plaza,,F Ortigas Jr,Rd,111176.1
2,8167225,Essensa East Forbes Condominium Corp,,Essensa East Forbes Cameron,,21st,Drv,105192
2,8370484,Esta Trading Corp,,,30,Arturo,Drv,100415
2,8934210,Esteban Adjusters & Valuers Inc,,Vicente Madrigal Building,6793,Ayala,Ave,106286.1
2,8449913,Esteban School Inc,,,,Pasong Tamo Extension,St,107961
2,6407965,Esteem Insurance Services,,,10,M H Del Pilar,St,106286.1
2,3717938,Estrel's Caramel Cakes,,,54,Sct Tobias,St,104890
2,9834678,Estrella Ice Plant and Cold Storage Co Inc,,,,Arty Subdivision,St,106240
2,9223751,Estrellas Home Care Clinic Incorporated,,,177,Kamias,Rd,105068
2,3642495,Eterna Manufacturing,,,104,6th,Ave,104815
2,3628768,Eternal Gardens Memorial Park,,Dominga 3 Building,2113,Chino Roces,Ave,107160
2,8964003,Eternal Word Foundation Inc,,Parkville Apartment Condo,7626,Guijo,St,110177
2,5221003,Eton International Primary School,,,1839,A Vasquez,St,107961
2,2420084,Eugene Shoe Sup Co,,,418,Nueva,St,108077
2,6359545,Eugenio Lopez Foundation Inc,,Benpres Building,,Exchange,Rd,107274.1
2,9420245,Eulogio Rodriguez Memorial Hospital,,,,Sumulong,Hwy,107152
2,8929440,Eurasia Match Inc,,Jaka Center,2111,Chino Roces,Ave,107118
2,5240575,Eurasiamquest Inc,,Femi 1 Building,,A Soriano Jr,Ave,106913
2,8151359,Euro Swiss Food Incorporated,,,7431,Yakal,St,106969
2,5247190,Euro-Med Laboratories Philippines Incorporated,,Ppl Building,1000,United Nations,Ave,106150
2,8171217,Euro-Swiss Food Inc,,Wic Building,7431,Yakal,St,106969
2,9842073,Euroasia Marble & Granite Inc,,,6079,Sto Rosario,St,107075
2,7221000,Eurolux Lighting Inc,,,,Granada,St,106659
2,5240091,Euromed Laboratories Phil Inc,,Ppl Building,1000,United Nations,Ave,105489
2,5221782,Europacific Electrical Manufacturing Incorporated,,Un Square Building,532,United Nations,Ave,105530
2,8920949,European Technics Phils Inc,,City Dela Rosa Condominium,7648,Dela Rosa,St,107761
2,8158223,Eurovilla I Apartment Cond,,Eurovilla 1 Condominium,142,Legazpi,St,105192
2,8931539,Eustaquio Jessie Magno,,,53,Ponce,St,111176.1
2,5311598,Evalue Phils Inc,,Summit One Tower,530,Shaw,Bvd,104531
2,7334850,Evan Hardware Inc,,,683,Evangelista,St,106130
2,3300088,Ever Bilena Cosmetics Inc,,,246,Reparo,Rd,105290
2,2424092,Ever Cardboard Box Factory,,,632,Asuncion,St,104785
2,8871571,Ever Corporation,,Hpl,60,Sen Gil Puyat,Ave,106659
2,9524250,Ever Gold Food & Bakeshop Corp,,,,Holy Spirit,Drv,104644
2,7115455,Ever Industries Philippine,,,1555,Bambang,St,108163
2,7224494,Ever Lithograph,,,168,P Gomez,St,107844
2,7331680,Ever Sporting Goods,,,628,G Puyat,St,108163
2,3633719,Evercel Manufacturing,,,77,Sgt E Rivera,St,107725
2,2474482,Everday General Merchandise,,Ledesma Building,863,Tabora,St,106374
2,8824981,Everest Academy Inc,,Summit School,,38th,Drv,107961
2,2915170,Everett Construction Supply,,,230,Gen D Mc Arthur,Hwy,106130
2,3302933,Evergreen Food Corp,,,4,Baesa,Rd,104644
2,6819052,Evergreen Manufacturing Corp,,,,Tayug,St,107725
2,8314877,Everlasting Furniture Mart,,,151,A S Arnaiz,Ave,105944
2,3733630,Eversafe International Enterprises,,,52,Kundiman,St,105786
2,2432380,Everson Modiste Center,,,869,Tabora,St,104862
2,2444770,Eversweet Marketing Corporation,,,569,Sto Cristo,St,106054
2,2429445,Everwealth Hardware,,Neco Building,513,T Pinpin,St,106130
2,4003812,Everwin Hotel,,,1190,San Andres,St,106213
2,3622464,Exact Motors and General Merchandise,,,212,Rizal Extension,Ave,106130
2,8994207,Excam Foods Incorporated,,Antel Venue,7829,Makati,Ave,105869
2,8318608,Excel Automotive and Industrial,,,2752,Taft,Ave,107523
2,5639720,Excel Printing Services,,,1426,Dagonoy,St,107844
2,7365291,Excel Review Center,,Ncba Building,813,R Papa,St,107961
2,9298463,Excel Trends Marketing and Services Corp,,,46K,Kamias,Rd,107107
2,7112918,Excellence Appliance Technologies Incorporated,,,56,Cordillera,St,105563
2,2441212,Excellent Hardware Inc,,Leyva Martinez Building,810,Reina Regente,St,106130
2,3631951,Excellent Industrial and Manufacturing Company,,,2,Gladiola,St,106395
2,2411981,Excellent Manpower Services,,Pacific Land and Building Corp,460,Q Paredes,St,105615
2,6338063,Exclusively His,,,608,Shaw,Bvd,107297
2,5245323,Executive Development Academy,,Anglo Building,1540,Taft,Ave,107961
2,6347573,Exos (Express Order System) Inc,,Cityland Pioneer Condominium,128,Pioneer,St,105779
2,5611638,Explore Transport Corp,,,1180,Pres E P Quirino,Ave,107529
2,8620260,Export Team Incorporated,,,,Tanguile,St,105944
2,5626592,Extermicon Gen Svcs Inc,,,1031,Talundon,St,107645
2,3747336,Extra Excel International (Phils) Inc,,Westlife Building,107,West,Ave,105883
2,8489973,Extra Excel Intl Phils Inc,,Rufino Pacific Tower,6784,Ayala,Ave,105883
2,7333906,Eye Charm Vision Care Cente,,,626,Carriedo,Ave,107297
2,7710727,Eye Experts Inc,,Asian Hospital & Medical Ctr,2205,Civic,Drv,108344
2,8937107,Ez Housing Development Corporation,,Cityland Condominium 10 Twr 2,154,H v Dela Costa,St,104393
2,6428559,East West Banking Corporation,,,,A Mabini,St,104662
2,3617999,F L Eng'g & Engine Rebuilder,,,227,2nd,Ave,107035
2,8817885,F M W Human Resourses Intl,,Parc House 2 Building,21,Pres R Magsaysay,Ave,106913
2,5310995,F U Juan Corporation,,Facilities Centre,22,Shaw,Bvd,106962
2,7345561,Fabella Jose Dr Mem'l Hospital,,,,Lope de Vega,St,106202
2,8981431,Fabio Salsa Salon,,Power Plant Mall,,Amorsolo,Drv,104699
2,9295791,Fabri-Kote Inc,,,23,Dalsol,St,104850
2,3736925,Fabric City,,,62,M H Del Pilar,St,107399
2,8052481,Fabric Warehouse,,Sm Southmall,,Alabang-Zapote,Rd,107392
2,3300939,Fabricator Phils Inc,,,35,Oliveros,Drv,107806
2,8443003,Fabriweld Building Systems Inc,,,22,Camia,St,108207
2,5342011,Fabtrade Company,,,950C,B Castaneda,St,104850
2,8964308,Facelo,Eloisa A,Gma Loubel Plaza,7514,Bagtikan,St,107070
2,8134668,Facilities Protection Inc,,Cityland Pasong Tamo Tower,2210,Chino Roces,Ave,106665
2,8935657,Factoran Tria de Leon Law Ofc,,Montepino Building,138,Gamboa,St,111176.1
2,3613619,Fair-N-Square Emporium Incorporated,,,567,Gen D Mc Arthur,Hwy,105563
2,2531133,Fairland Knit Craft Company Incorporated,,,1260,Juan Luna,St,106377
2,9398764,Fairview Polyclinic and Infirmary,,,,Fairview,St,105068
2,6424265,Fairyland Kindergarten and Grade School,,,25,Dahlia,St,107961
2,3743068,Faith Baptist Church,,,4,Bulletin,St,105047
2,8224372,Faith Baptist Church-Alabang,,,,Mjs,Ave,105047
2,9114007,Faith Evangelical Church of the Phil,,Faith Fellowship Ministry Ctr,976,Aurora,Bvd,105047
2,8021582,Falconi III,Angelito F,Shell Station,,Alabang-Zapote,Rd,104700
2,7321522,Famascap Manufacturing Incorporation,,,40,E Rodriguez Sr,Ave,105976
2,3618315,Fame Industries,,,15,Virginia,Drv,105786
2,2410055,Family Insurance and Investment Corporation,,Tytana Plaza,611,Oriente,St,106286.1
2,3711118,Family Life Care Clinic,,,64,Tolentino,St,105068
2,4260310,Family Montessori Preschool,,,57A,E Abada,St,107961
2,8511288,Family Savings Bank,,Raneta Bldg,26,C Jose,St,104662
2,5529402,Famous Dry Cleaners,,,4334,Dayap,St,105495
2,8995457,Famous Frame Shop,,,7788I,St Paul,Rd,105907
2,8615813,Famous Lumber & Const Supply,,,775,National,Rd,106130
2,8900839,Far East Media Incorporated,,Fep Printing Corp Bldg,,Metro,Ave,107844
2,5314871,Far East Mills Supply Corporation,,Facilities Centre,,Shaw,Bvd,105554
2,7335412,Far Eastern Diesel Supply,,,666,Ronquillo,St,105418
2,7350044,Far Eastern University,,,,N Reyes,St,107961
2,8900678,Farinas,Myrna,Executive Building,370,Sen Gil Puyat,Ave,104700
2,5636082,Farmont Mines Company Incorporated,,,1439,Dagonoy,St,107214
2,3741292,Fas Insurance Agency Inc,,Anita Building,1300,Quezon,Ave,106286.1
2,8229183,Fast Alter Station,,Sm City Bicutan Building A,,Dna Soledad,Ave,107297
2,9304751,Father Monti's Ctr,,,9,Alimango,St,108018
2,2923183,Fatima College of Veterinary Medicine,,Maritime Building,,Knights of Columbus,St,107961
2,2919321,Fatima Medical Center,,Fatima Medical Center Medicine,120,Gen D Mc Arthur,Hwy,106202
2,4210416,Fazoli's (Real Fast Inc),,,188,E Rodriguez Jr,Ave,106969
2,5639903,Fbic Reefer Corporation,,,2677,New Panaderos,St,106926.1
2,3732975,Fcao-Franciscans,,,69,San Pedro Bautista,St,106948
2,2918029,Febias College of Bible,,,,Gen D Mc Arthur,Hwy,107961
2,8124473,Federal Seafood Restaurant,,Allied Bank Center,6754,Ayala,Ave,106969
